date,Tipo,Volume,Price,Retorno,Saldo,Dummy,Open,High,Low,Close,Tick,Vol
2019-12-04 17:00:01,sell,19,110290,1846,1159681,1,110285.0,110295.0,110285.0,110290.0,59,275
2019-12-06 16:57:00,sell,9,111340,324,1160005,1,111340.0,111345.0,111340.0,111345.0,4,15
2019-12-06 17:00:01,sell,9,111335,315,1160320,1,111335.0,111350.0,111335.0,111350.0,99,436
2019-12-10 15:16:21,buy,38,110605,-2294,1158026,0,110545.0,110550.0,110545.0,110545.0,36,203
2019-12-11 14:00:02,sell,38,110885,-2220,1155806,0,110885.0,110895.0,110885.0,110895.0,476,2313
2019-12-12 16:57:00,sell,19,112345,1940,1157746,1,112345.0,112350.0,112345.0,112350.0,7,36
2019-12-12 17:00:01,sell,19,112375,2054,1159800,1,112385.0,112400.0,112380.0,112385.0,566,2526
2019-12-16 15:44:10,sell,38,112970,-2314,1157486,0,113035.0,113040.0,113020.0,113025.0,250,1270
2019-12-17 16:57:00,sell,19,112450,49,1157535,1,112450.0,112455.0,112450.0,112450.0,32,137
2019-12-17 17:00:01,sell,19,112475,144,1157679,1,112480.0,112490.0,112480.0,112490.0,117,748
2019-12-20 14:00:19,sell,38,115395,-2220,1155459,0,115440.0,115445.0,115430.0,115430.0,63,306
2019-12-23 16:57:00,buy,19,115875,-587,1154872,0,115870.0,115870.0,115865.0,115865.0,6,20
2019-12-23 17:00:01,buy,19,115915,-739,1154133,0,115910.0,115915.0,115910.0,115910.0,36,78
2019-12-30 11:39:10,sell,38,117285,-2276,1151857,0,117340.0,117340.0,117335.0,117340.0,75,253
2019-12-30 16:57:00,buy,19,116595,829,1152686,1,116590.0,116595.0,116590.0,116590.0,14,31
2019-12-30 17:00:01,buy,19,116575,905,1153591,1,116570.0,116570.0,116560.0,116565.0,37,86
